Date;High price;Low price;Closing price
2017-11-13;1634.87;1618.46;1630.51
2017-11-14;1635.55;1623.09;1628.48
2017-11-15;1628.48;1612.49;1627
2017-11-16;1636.96;1624.89;1633.66
2017-11-17;1633.94;1613.9;1617.7
2017-11-20;1626.02;1607.77;1623.54
2017-11-21;1639.92;1618.65;1636.65
2017-11-22;1637.99;1617.52;1617.52
2017-11-23;1616.79;1607.64;1612.57
2017-11-24;1620.25;1606.6;1614.62
2017-11-27;1618.85;1607.15;1608.74
2017-11-28;1622.11;1608.31;1620.81
2017-11-29;1628.76;1613.56;1613.56
2017-11-30;1624.47;1609.1;1610.11
2017-12-01;1611.07;1592.2;1592.2
2017-12-04;1624.05;1595.59;1616.8
2017-12-05;1620.45;1607.03;1613.36
2017-12-06;1609.21;1591.25;1595.44
2017-12-07;1606.94;1594.77;1599.29
2017-12-08;1621.38;1599.57;1610.82
2017-12-11;1627.94;1610.93;1619.47
2017-12-12;1625.05;1612.97;1623.75
2017-12-13;1624.32;1584.53;1619.82
2017-12-14;1622.08;1609.6;1609.6
2017-12-15;1610.59;1585.79;1594.35
2017-12-18;1616.26;1593.71;1615.63
2017-12-19;1620.57;1610.62;1611.43
2017-12-20;1613.69;1597.42;1600.29
2017-12-21;1616.98;1593.26;1616.27
2017-12-22;1616.22;1602.11;1606.25
2017-12-27;1613.76;1589.78;1594.99
2017-12-28;1594.95;1584.25;1588.51
2017-12-29;1591.58;1573.56;1576.94
2018-01-02;1583.38;1573.76;1579.82
2018-01-03;1591.1;1577.61;1587.56
2018-01-04;1606.71;1587.88;1603.67
2018-01-05;1611.31;1604.08;1611.31
2018-01-08;1622.41;1612.98;1619.13
2018-01-09;1633.96;1618.9;1632.29
2018-01-10;1631.91;1621.85;1629.29
2018-01-11;1632.9;1620.52;1630.29
2018-01-12;1634.58;1621.24;1628.4
2018-01-15;1630.22;1622.93;1627.29
2018-01-16;1630.01;1620.46;1623.33
2018-01-17;1629.67;1614.46;1622.85
2018-01-18;1630.53;1619.88;1624.78
2018-01-19;1631.63;1623.63;1630.62
2018-01-22;1639.05;1628.7;1635.47
