id;Date;Open;High;Low;Close
532;1988-11-14;147.4;144.98;144.98;144.98
533;1988-11-15;144.98;144.74;144.74;144.74
534;1988-11-16;144.74;146.18;146.18;146.18
535;1988-11-17;146.18;145.89;145.89;145.89
536;1988-11-18;145.89;146.43;146.43;146.43
537;1988-11-21;146.43;147.1;147.1;147.1
538;1988-11-22;147.1;148.2;148.2;148.2
539;1988-11-23;148.2;149.62;149.62;149.62
540;1988-11-24;149.62;149.03;149.03;149.03
541;1988-11-25;149.03;146.53;146.53;146.53
542;1988-11-28;146.53;145.49;145.49;145.49
543;1988-11-29;145.49;146.81;146.81;146.81
544;1988-11-30;146.81;149.08;149.08;149.08
545;1988-12-01;149.08;150.28;150.28;150.28
546;1988-12-02;150.28;150.04;150.04;150.04
547;1988-12-05;150.04;151.62;151.62;151.62
548;1988-12-06;151.62;154.29;154.29;154.29
549;1988-12-07;154.29;154.13;154.13;154.13
550;1988-12-08;154.13;154.28;154.28;154.28
551;1988-12-09;154.28;155.56;155.56;155.56
552;1988-12-12;155.56;155.02;155.02;155.02
553;1988-12-13;155.02;155.8;155.8;155.8
554;1988-12-14;155.8;156.1;156.1;156.1
555;1988-12-15;156.1;156.09;156.09;156.09
556;1988-12-16;156.09;157.76;157.76;157.76
557;1988-12-19;157.76;157.12;157.12;157.12
558;1988-12-20;157.12;158.33;158.33;158.33
559;1988-12-21;158.33;159.22;159.22;159.22
560;1988-12-22;159.22;158.17;158.17;158.17
561;1988-12-23;158.17;158.29;158.29;158.29
562;1988-12-27;158.29;159.07;159.07;159.07
563;1988-12-28;159.07;160.17;160.17;160.17
564;1988-12-29;160.17;159.9;159.9;159.9
565;1988-12-30;159.9;159.63;159.63;159.63
566;1989-01-02;159.63;152.67;152.67;152.67
567;1989-01-03;152.67;155.89;155.89;155.89
568;1989-01-04;155.89;157.09;157.09;157.09
569;1989-01-05;157.09;160.03;160.03;160.03
570;1989-01-09;160.03;163.22;163.22;163.22
571;1989-01-10;163.22;164.82;164.82;164.82
572;1989-01-11;164.82;164.89;164.89;164.89
573;1989-01-12;164.89;164.99;164.99;164.99
574;1989-01-13;164.99;165.48;165.48;165.48
575;1989-01-16;165.48;164.93;164.93;164.93
576;1989-01-17;164.93;165.0;165.0;165.0
577;1989-01-18;165.0;165.28;165.28;165.28
578;1989-01-19;165.28;167.19;167.19;167.19
579;1989-01-20;167.19;167.63;167.63;167.63
580;1989-01-23;167.63;167.82;167.82;167.82
581;1989-01-24;167.82;168.12;168.12;168.12
582;1989-01-25;168.12;170.11;170.11;170.11
583;1989-01-26;170.11;171.09;171.09;171.09
584;1989-01-27;171.09;170.45;170.45;170.45
585;1989-01-30;170.45;172.02;172.02;172.02
586;1989-01-31;172.02;171.76;171.76;171.76
587;1989-02-01;171.76;172.22;172.22;172.22
588;1989-02-02;172.22;172.6;172.6;172.6
589;1989-02-03;172.6;172.78;172.78;172.78
590;1989-02-06;172.78;170.75;170.75;170.75
591;1989-02-07;170.75;168.96;168.96;168.96
592;1989-02-08;168.96;171.07;171.07;171.07
593;1989-02-09;171.07;171.82;171.82;171.82
594;1989-02-10;171.82;172.56;172.56;172.56
595;1989-02-13;172.56;171.24;171.24;171.24
596;1989-02-14;171.24;171.66;171.66;171.66
597;1989-02-15;171.66;171.1;171.1;171.1
598;1989-02-16;171.1;171.89;171.89;171.89
599;1989-02-17;171.89;172.8;172.8;172.8
600;1989-02-20;172.8;173.41;173.41;173.41
601;1989-02-21;173.41;175.03;175.03;175.03
602;1989-02-22;175.03;178.01;178.01;178.01
603;1989-02-23;178.01;176.85;176.85;176.85
604;1989-02-24;176.85;176.59;176.59;176.59
605;1989-02-27;176.59;174.23;174.23;174.23
606;1989-02-28;174.23;176.02;176.02;176.02
607;1989-03-01;176.02;176.36;176.36;176.36
608;1989-03-02;176.36;176.65;176.65;176.65
609;1989-03-03;176.65;177.3;177.3;177.3
610;1989-03-06;177.3;178.59;178.59;178.59
611;1989-03-07;178.59;180.65;180.65;180.65
612;1989-03-08;180.65;181.59;181.59;181.59
613;1989-03-09;181.59;181.27;181.27;181.27
614;1989-03-10;181.27;181.07;181.07;181.07
615;1989-03-13;181.07;181.25;181.25;181.25
616;1989-03-14;181.25;184.32;184.32;184.32
617;1989-03-15;184.32;183.85;183.85;183.85
618;1989-03-16;183.85;182.85;182.85;182.85
619;1989-03-17;182.85;183.87;183.87;183.87
620;1989-03-20;183.87;181.78;181.78;181.78
621;1989-03-21;181.78;179.49;179.49;179.49
622;1989-03-22;179.49;181.19;181.19;181.19
623;1989-03-23;181.19;181.84;181.84;181.84
624;1989-03-28;181.84;183.04;183.04;183.04
625;1989-03-29;183.04;184.32;184.32;184.32
626;1989-03-30;184.32;184.72;184.72;184.72
627;1989-03-31;184.72;184.31;184.31;184.31
628;1989-04-03;184.31;185.85;185.85;185.85
629;1989-04-04;185.85;186.43;186.43;186.43
630;1989-04-05;186.43;186.62;186.62;186.62
631;1989-04-06;186.62;186.42;186.42;186.42
632;1989-04-07;186.42;185.36;185.36;185.36
633;1989-04-10;185.36;182.58;182.58;182.58
634;1989-04-11;182.58;181.03;181.03;181.03
635;1989-04-12;181.03;181.91;181.91;181.91
636;1989-04-13;181.91;180.91;180.91;180.91
637;1989-04-14;180.91;178.91;178.91;178.91
638;1989-04-17;178.91;179.33;179.33;179.33
639;1989-04-18;179.33;177.54;177.54;177.54
640;1989-04-19;177.54;178.74;178.74;178.74
641;1989-04-20;178.74;179.18;179.18;179.18
642;1989-04-21;179.18;178.63;178.63;178.63
643;1989-04-24;178.63;179.84;179.84;179.84
644;1989-04-25;179.84;181.62;181.62;181.62
645;1989-04-26;181.62;183.97;183.97;183.97
646;1989-04-27;183.97;184.42;184.42;184.42
647;1989-04-28;184.42;184.35;184.35;184.35
648;1989-05-02;184.35;183.81;183.81;183.81
649;1989-05-03;183.81;183.72;183.72;183.72
650;1989-05-05;183.72;183.88;183.88;183.88
651;1989-05-08;183.88;183.72;183.72;183.72
652;1989-05-09;183.72;182.88;182.88;182.88
653;1989-05-10;182.88;182.75;182.75;182.75
654;1989-05-11;182.75;183.07;183.07;183.07
655;1989-05-12;183.07;183.15;183.15;183.15
656;1989-05-16;183.15;184.84;184.84;184.84
657;1989-05-17;184.84;185.68;185.68;185.68
658;1989-05-18;185.68;186.93;186.93;186.93
659;1989-05-19;186.93;188.43;188.43;188.43
660;1989-05-22;188.43;190.5;190.5;190.5
661;1989-05-23;190.5;189.37;189.37;189.37
662;1989-05-24;189.37;188.5;188.5;188.5
663;1989-05-25;188.5;189.94;189.94;189.94
