id;Time;High;Low;Close
2755;1997-09-22;644.1;644.1;644.1
2756;1997-09-23;644.35;644.35;644.35
2757;1997-09-24;649.77;649.77;649.77
2758;1997-09-25;642.02;642.02;642.02
2759;1997-09-26;652.45;652.45;652.45
2760;1997-09-29;650.11;650.11;650.11
2761;1997-09-30;652.85;652.85;652.85
2762;1997-10-01;659.06;659.06;659.06
2763;1997-10-02;655.31;655.31;655.31
2764;1997-10-03;657.75;657.75;657.75
2765;1997-10-06;653.82;653.82;653.82
2766;1997-10-07;659.5;659.5;659.5
2767;1997-10-08;656.57;656.57;656.57
2768;1997-10-09;649.77;649.77;649.77
2769;1997-10-10;642.91;642.91;642.91
2770;1997-10-13;645.57;645.57;645.57
2771;1997-10-14;647.6;647.6;647.6
2772;1997-10-15;643.69;643.69;643.69
2773;1997-10-16;641.33;641.33;641.33
2774;1997-10-17;627.97;627.97;627.97
2775;1997-10-20;623.55;623.55;623.55
2776;1997-10-21;633.43;633.43;633.43
2777;1997-10-22;629.0;629.0;629.0
2778;1997-10-23;611.17;611.17;611.17
2779;1997-10-24;605.44;605.44;605.44
2780;1997-10-27;576.97;576.97;576.97
2781;1997-10-28;554.4;554.4;554.4
2782;1997-10-29;592.07;592.07;592.07
2783;1997-10-30;574.26;574.26;574.26
2784;1997-10-31;575.49;575.49;575.49
2785;1997-11-03;592.82;592.82;592.82
2786;1997-11-04;588.71;588.71;588.71
2787;1997-11-05;596.19;596.19;596.19
2788;1997-11-06;590.49;590.49;590.49
2789;1997-11-07;575.96;575.96;575.96
2790;1997-11-10;580.04;580.04;580.04
2791;1997-11-11;574.9;574.9;574.9
2792;1997-11-12;577.14;577.14;577.14
2793;1997-11-13;568.05;568.05;568.05
2794;1997-11-14;560.03;560.03;560.03
2795;1997-11-17;576.13;576.13;576.13
2796;1997-11-18;583.51;583.51;583.51
2797;1997-11-19;585.83;585.83;585.83
2798;1997-11-20;601.39;601.39;601.39
2799;1997-11-21;614.34;614.34;614.34
2800;1997-11-24;601.64;601.64;601.64
2801;1997-11-25;595.96;595.96;595.96
2802;1997-11-26;601.54;601.54;601.54
2803;1997-11-27;603.2;603.2;603.2
2804;1997-11-28;609.1;609.1;609.1
2805;1997-12-01;624.43;624.43;624.43
2806;1997-12-02;620.43;620.43;620.43
2807;1997-12-03;610.57;610.57;610.57
2808;1997-12-04;624.22;624.22;624.22
2809;1997-12-05;619.55;619.55;619.55
2810;1997-12-08;625.09;625.09;625.09
2811;1997-12-09;619.21;619.21;619.21
2812;1997-12-10;607.51;607.51;607.51
2813;1997-12-11;588.27;588.27;588.27
2814;1997-12-12;583.58;583.58;583.58
2815;1997-12-15;583.58;583.58;583.58
2816;1997-12-16;599.52;599.52;599.52
2817;1997-12-17;602.61;602.61;602.61
2818;1997-12-18;597.88;597.88;597.88
2819;1997-12-19;573.61;573.61;573.61
2820;1997-12-22;575.34;575.34;575.34
2821;1997-12-23;567.25;567.25;567.25
2822;1997-12-29;592.99;592.99;592.99
2823;1997-12-30;599.71;599.71;599.71
2824;1998-01-02;604.82;604.82;604.82
2825;1998-01-05;623.08;623.08;623.08
2826;1998-01-07;613.03;613.03;613.03
2827;1998-01-08;609.44;609.44;609.44
2828;1998-01-09;595.66;595.66;595.66
2829;1998-01-12;569.97;569.97;569.97
2830;1998-01-13;570.49;570.49;570.49
2831;1998-01-14;584.77;584.77;584.77
2832;1998-01-15;590.64;590.64;590.64
2833;1998-01-16;598.17;598.17;598.17
2834;1998-01-19;604.09;604.09;604.09
2835;1998-01-20;605.15;605.15;605.15
2836;1998-01-21;608.65;608.65;608.65
2837;1998-01-22;602.2;602.2;602.2
2838;1998-01-23;601.23;601.23;601.23
2839;1998-01-26;607.92;607.92;607.92
2840;1998-01-27;621.58;621.58;621.58
2841;1998-01-28;624.77;624.77;624.77
2842;1998-01-29;629.32;629.32;629.32
2843;1998-01-30;627.14;627.14;627.14
2844;1998-02-02;638.69;638.69;638.69
2845;1998-02-03;633.76;633.76;633.76
2846;1998-02-04;632.71;632.71;632.71
2847;1998-02-05;639.5;639.5;639.5
2848;1998-02-06;645.05;645.05;645.05
2849;1998-02-09;646.81;646.81;646.81
2850;1998-02-10;647.47;647.47;647.47
2851;1998-02-11;651.78;651.78;651.78
2852;1998-02-12;646.72;646.72;646.72
2853;1998-02-13;650.7;650.7;650.7
2854;1998-02-16;655.95;655.95;655.95
2855;1998-02-17;666.47;666.47;666.47
2856;1998-02-18;665.46;665.46;665.46
2857;1998-02-19;665.47;665.47;665.47
2858;1998-02-20;666.23;666.23;666.23
2859;1998-02-23;668.64;668.64;668.64
2860;1998-02-24;668.69;668.69;668.69
2861;1998-02-25;681.98;681.98;681.98
2862;1998-02-26;683.58;683.58;683.58
2863;1998-02-27;683.34;683.34;683.34
2864;1998-03-02;690.99;690.99;690.99
2865;1998-03-03;683.62;683.62;683.62
2866;1998-03-04;678.75;678.75;678.75
2867;1998-03-05;677.47;677.47;677.47
2868;1998-03-06;689.48;689.48;689.48
2869;1998-03-09;698.37;698.37;698.37
2870;1998-03-10;701.46;701.46;701.46
2871;1998-03-11;707.35;707.35;707.35
2872;1998-03-12;711.91;711.91;711.91
2873;1998-03-13;716.05;716.05;716.05
2874;1998-03-16;721.96;721.96;721.96
2875;1998-03-17;729.3;729.3;729.3
2876;1998-03-18;726.26;726.26;726.26
2877;1998-03-19;725.44;725.44;725.44
2878;1998-03-20;729.69;729.69;729.69
2879;1998-03-23;730.42;730.42;730.42
2880;1998-03-24;733.26;733.26;733.26
2881;1998-03-25;740.46;740.46;740.46
2882;1998-03-26;729.39;729.39;729.39
2883;1998-03-27;733.43;733.43;733.43
2884;1998-03-30;727.69;727.69;727.69
2885;1998-03-31;725.23;725.23;725.23
2886;1998-04-01;731.28;731.28;731.28
2887;1998-04-02;729.68;729.68;729.68
2888;1998-04-03;747.26;747.26;747.26
2889;1998-04-06;761.02;761.02;761.02
2890;1998-04-07;751.28;751.28;751.28
2891;1998-04-08;745.95;745.95;745.95
2892;1998-04-09;753.21;753.21;753.21
2893;1998-04-14;766.73;766.73;766.73
2894;1998-04-15;775.07;775.07;775.07
2895;1998-04-16;765.16;765.16;765.16
2896;1998-04-17;759.46;759.46;759.46
2897;1998-04-20;757.42;757.42;757.42
2898;1998-04-21;763.82;763.82;763.82
2899;1998-04-22;744.63;744.63;744.63
2900;1998-04-23;739.54;739.54;739.54
2901;1998-04-24;735.29;735.29;735.29
2902;1998-04-27;718.76;718.76;718.76
2903;1998-04-28;732.81;732.81;732.81
2904;1998-04-29;726.88;726.88;726.88
2905;1998-04-30;737.02;737.02;737.02
2906;1998-05-04;753.56;753.56;753.56
2907;1998-05-05;751.74;751.74;751.74
2908;1998-05-06;762.54;762.54;762.54
2909;1998-05-07;759.44;759.44;759.44
2910;1998-05-08;760.22;760.22;760.22
2911;1998-05-11;771.39;771.39;771.39
2912;1998-05-12;764.27;764.27;764.27
2913;1998-05-13;759.23;759.23;759.23
2914;1998-05-14;755.35;755.35;755.35
2915;1998-05-15;761.39;761.39;761.39
2916;1998-05-18;752.94;752.94;752.94
2917;1998-05-19;762.6;762.6;762.6
2918;1998-05-20;767.11;767.11;767.11
2919;1998-05-22;775.27;775.27;775.27
2920;1998-05-25;786.84;786.84;786.84
2921;1998-05-26;786.08;786.08;786.08
2922;1998-05-27;767.63;767.63;767.63
2923;1998-05-28;764.3;764.3;764.3
2924;1998-05-29;765.59;765.59;765.59
2925;1998-06-02;761.17;761.17;761.17
2926;1998-06-03;759.05;759.05;759.05
2927;1998-06-04;757.04;757.04;757.04
2928;1998-06-05;783.04;783.04;783.04
2929;1998-06-08;793.81;793.81;793.81
2930;1998-06-09;800.46;800.46;800.46
2931;1998-06-10;790.51;790.51;790.51
2932;1998-06-11;779.76;779.76;779.76
2933;1998-06-12;770.11;770.11;770.11
2934;1998-06-15;750.39;750.39;750.39
2935;1998-06-16;743.16;743.16;743.16
2936;1998-06-17;760.64;760.64;760.64
2937;1998-06-18;744.83;744.83;744.83
2938;1998-06-22;734.34;734.34;734.34
2939;1998-06-23;751.53;751.53;751.53
2940;1998-06-24;755.56;755.56;755.56
2941;1998-06-25;771.85;771.85;771.85
2942;1998-06-26;773.91;773.91;773.91
2943;1998-06-29;777.12;777.12;777.12
2944;1998-06-30;776.52;776.52;776.52
2945;1998-07-01;787.13;787.13;787.13
2946;1998-07-02;790.26;790.26;790.26
2947;1998-07-03;797.84;797.84;797.84
2948;1998-07-06;799.94;799.94;799.94
2949;1998-07-07;806.14;806.14;806.14
2950;1998-07-08;810.82;810.82;810.82
2951;1998-07-09;806.16;806.16;806.16
2952;1998-07-10;798.34;798.34;798.34
2953;1998-07-13;807.12;807.12;807.12
2954;1998-07-14;810.9;810.9;810.9
2955;1998-07-15;820.9;820.9;820.9
2956;1998-07-16;814.24;814.24;814.24
2957;1998-07-17;821.98;821.98;821.98
2958;1998-07-20;823.2;823.2;823.2
2959;1998-07-21;818.28;818.28;818.28
2960;1998-07-22;802.11;802.11;802.11
2961;1998-07-23;806.86;806.86;806.86
2962;1998-07-24;799.11;799.11;799.11
2963;1998-07-27;776.5;776.5;776.5
2964;1998-07-28;768.81;768.81;768.81
2965;1998-07-29;779.63;779.63;779.63
2966;1998-07-30;779.83;779.83;779.83
2967;1998-07-31;769.37;769.37;769.37
2968;1998-08-03;769.11;769.11;769.11
2969;1998-08-04;762.26;762.26;762.26
2970;1998-08-05;745.4;745.4;745.4
2971;1998-08-06;733.07;733.07;733.07
2972;1998-08-07;744.53;744.53;744.53
2973;1998-08-10;721.91;721.91;721.91
2974;1998-08-11;699.58;699.58;699.58
2975;1998-08-12;709.95;709.95;709.95
2976;1998-08-13;700.05;700.05;700.05
2977;1998-08-14;712.5;712.5;712.5
